phase5_variant,quarter,session,session_model,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
b0_ny_no_pattern,Q3 2021,Asia,mean_rev_fail,21:16,7,5.8,72.7,55,-7.3,1.59,True
b0_ny_no_pattern,Q3 2021,London,breakout_pullback,02:26,3,-83.9,21.6,102,-112.5,0.82,False
b0_ny_no_pattern,Q3 2021,NY,breakout_pullback,08:41,10,-54.9,24.1,83,-80.8,3.2,False
b0_ny_no_pattern,Q4 2021,Asia,mean_rev_fail,21:17,10,-2.4,69.8,43,-4.2,1.45,False
b0_ny_no_pattern,Q4 2021,London,breakout_pullback,02:43,3,11.0,29.0,107,-36.4,0.76,True
b0_ny_no_pattern,Q4 2021,NY,breakout_pullback,08:22,3,-67.4,23.6,110,-143.0,1.13,False
b0_ny_no_pattern,Q1 2022,Asia,mean_rev_fail,20:55,10,19.9,74.6,59,-7.4,2.72,True
b0_ny_no_pattern,Q1 2022,London,breakout_pullback,04:40,3,-3.9,28.6,98,-50.4,1.25,False
b0_ny_no_pattern,Q1 2022,NY,breakout_pullback,11:18,7,-37.2,25.4,71,-66.2,2.86,False
b0_ny_no_pattern,Q2 2022,Asia,mean_rev_fail,21:00,7,2.7,70.5,78,-10.3,1.89,True
b0_ny_no_pattern,Q2 2022,London,breakout_pullback,04:12,10,2.3,28.7,101,-51.7,2.25,True
b0_ny_no_pattern,Q2 2022,NY,breakout_pullback,08:31,10,21.3,29.3,99,-62.6,4.58,True
b0_ny_no_pattern,Q3 2022,Asia,mean_rev_fail,20:29,5,3.6,79.2,24,-3.0,1.42,True
b0_ny_no_pattern,Q3 2022,London,breakout_pullback,02:32,3,30.0,30.2,96,-50.0,0.82,True
b0_ny_no_pattern,Q3 2022,NY,breakout_pullback,08:47,3,63.0,35.0,80,-30.9,1.76,True
b0_ny_no_pattern,Q4 2022,Asia,mean_rev_fail,21:39,10,18.4,81.0,63,-5.2,1.76,True
b0_ny_no_pattern,Q4 2022,London,breakout_pullback,04:12,3,-8.9,27.6,105,-48.6,1.12,False
b0_ny_no_pattern,Q4 2022,NY,breakout_pullback,08:44,10,30.1,31.5,89,-70.4,2.52,True
b0_ny_no_pattern,Q1 2023,Asia,mean_rev_fail,20:58,7,23.1,80.0,75,-5.9,1.8,True
b0_ny_no_pattern,Q1 2023,London,breakout_pullback,04:27,7,44.2,31.7,104,-37.3,1.92,True
b0_ny_no_pattern,Q1 2023,NY,breakout_pullback,08:21,3,-133.0,19.5,113,-142.0,1.16,False
b0_ny_no_pattern,Q2 2023,Asia,mean_rev_fail,21:14,10,18.0,80.4,56,-2.7,1.85,True
b0_ny_no_pattern,Q2 2023,London,breakout_pullback,04:28,3,74.6,34.0,100,-37.6,0.94,True
b0_ny_no_pattern,Q2 2023,NY,breakout_pullback,10:07,3,-8.1,28.1,64,-37.6,2.47,False
b0_ny_no_pattern,Q3 2023,Asia,mean_rev_fail,21:12,10,-5.8,63.2,38,-8.5,1.52,False
b0_ny_no_pattern,Q3 2023,London,breakout_pullback,04:37,3,-91.4,19.3,88,-149.5,0.61,False
b0_ny_no_pattern,Q3 2023,NY,breakout_pullback,08:40,3,-53.0,23.1,78,-95.4,1.76,False
b0_ny_no_pattern,Q4 2023,Asia,mean_rev_fail,21:17,10,-3.3,68.0,50,-9.7,1.66,False
b0_ny_no_pattern,Q4 2023,London,breakout_pullback,01:51,10,14.5,29.8,94,-33.1,1.32,True
b0_ny_no_pattern,Q4 2023,NY,breakout_pullback,08:15,5,-141.0,18.9,111,-145.7,1.42,False
b0_ny_no_pattern,Q1 2024,Asia,mean_rev_fail,21:35,7,5.0,78.4,37,-4.9,1.64,True
b0_ny_no_pattern,Q1 2024,London,breakout_pullback,04:37,3,-12.7,26.9,93,-86.6,0.84,False
b0_ny_no_pattern,Q1 2024,NY,breakout_pullback,10:03,3,13.9,30.5,82,-39.4,1.84,True
b0_ny_no_pattern,Q2 2024,Asia,mean_rev_fail,19:08,10,19.0,82.4,68,-4.0,1.61,True
b0_ny_no_pattern,Q2 2024,London,breakout_pullback,02:37,3,139.8,41.1,95,-32.4,1.42,True
b0_ny_no_pattern,Q2 2024,NY,breakout_pullback,08:37,10,40.1,32.5,123,-76.8,5.0,True
b0_ny_no_pattern,Q3 2024,Asia,mean_rev_fail,21:00,10,-6.6,64.1,103,-11.3,3.14,False
b0_ny_no_pattern,Q3 2024,London,breakout_pullback,02:03,3,140.5,38.5,117,-27.6,1.47,True
b0_ny_no_pattern,Q3 2024,NY,breakout_pullback,08:15,3,-77.4,26.9,119,-122.4,1.59,False
b0_ny_no_pattern,Q4 2024,Asia,mean_rev_fail,20:34,10,-6.2,68.3,63,-9.5,1.77,False
b0_ny_no_pattern,Q4 2024,London,breakout_pullback,02:00,5,73.8,34.2,111,-77.0,2.04,True
b0_ny_no_pattern,Q4 2024,NY,breakout_pullback,08:43,7,-4.0,29.5,122,-59.0,2.66,False
b0_ny_no_pattern,Q1 2025,Asia,mean_rev_fail,22:07,5,9.8,77.6,58,-8.0,2.14,True
b0_ny_no_pattern,Q1 2025,London,breakout_pullback,02:33,10,-18.0,28.3,120,-48.6,2.39,False
b0_ny_no_pattern,Q1 2025,NY,breakout_pullback,09:07,7,-33.3,30.6,121,-79.0,3.07,False
b0_ny_no_pattern,Q2 2025,Asia,mean_rev_fail,22:35,5,3.6,67.7,65,-26.2,4.27,True
b0_ny_no_pattern,Q2 2025,London,breakout_pullback,04:27,5,92.6,36.6,112,-74.6,3.49,True
b0_ny_no_pattern,Q2 2025,NY,breakout_pullback,10:11,10,25.6,31.9,116,-104.4,8.28,True
b0_ny_no_pattern,Q3 2025,Asia,mean_rev_fail,21:02,10,7.7,62.1,103,-21.0,4.88,True
b0_ny_no_pattern,Q3 2025,London,breakout_pullback,04:26,7,19.3,31.7,123,-93.3,2.78,True
b0_ny_no_pattern,Q3 2025,NY,breakout_pullback,10:03,5,84.2,36.4,107,-61.7,4.76,True
b0_ny_no_pattern,Q4 2025,Asia,mean_rev_fail,20:27,5,-1.0,71.6,116,-43.9,4.39,False
b0_ny_no_pattern,Q4 2025,London,breakout_pullback,04:21,10,-3.1,28.5,130,-112.2,6.35,False
b0_ny_no_pattern,Q4 2025,NY,breakout_pullback,08:38,3,167.9,40.7,123,-47.3,3.76,True
b0_ny_no_pattern,Q1 2026,Asia,mean_rev_fail,21:00,5,-87.4,51.1,90,-101.3,18.35,False
b0_ny_no_pattern,Q1 2026,London,breakout_pullback,01:59,10,47.6,36.3,124,-256.6,13.46,True
b0_ny_no_pattern,Q1 2026,NY,breakout_pullback,09:46,10,46.4,36.4,118,-257.3,15.96,True
